pais;codigo_do_pais;nome_do_pais;descricao;loc_cod;UF;RA;ra_desc;RG;rg_desc;RM;rm_desc
900;1100106;Guajará-Mirim;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100114;Jaru;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100122;Ji-Paraná;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100130;Machadinho D'Oeste;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100148;Nova Brasilândia D'Oeste;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100155;Ouro Preto do Oeste;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100189;Pimenta Bueno;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100205;Porto Velho;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100254;Presidente Médici;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100262;Rio Crespo;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100288;Rolim de Moura;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100296;Santa Luzia D'Oeste;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100304;Vilhena;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100320;São Miguel do Guaporé;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100338;Nova Mamoré;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100346;Alvorada D'Oeste;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
900;1100379;Alto Alegre dos Parecis;Rondônia;;11;888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo);888;Outras UFs (Fora São Paulo)
